Timestamp:,2022-01-31T13:47:37.405364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laser line number: ,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laser line name:, STATION2CREP_100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laser image name:, STATION2CREP ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Starting X:,72366.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Starting Y:,77661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Starting Z:,32127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Spot size:,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Spot spacing:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of shots:,2514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Direction of ablation:,0,Left to Right ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,39K cps,43Ca cps,44Ca cps,45Sc cps,48Ca cps,49Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,59Co cps,60Ni cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,84Sr cps,85Rb cps,86Sr cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
39538.0936,72516.42,77661,704.86,585.6,173.23,36017.3,1245.57,899.09,159.3,0,0,57.85,0,43,0,0,69.88,11.12,194.06,0,13.04,0,0,0,0,0,0,0,0,0,29.15,0,0,0,0,0,0,0,72.41,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.19,0,0,0,0,0,0,0,0,0,0,0,0,0
39550.876,72521.42,77661,400.59,0,0,2427.5,183.79,468.45,37.5,0,0,0,35.7,0,0,0,71.9,0,71.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39563.6584,72526.42,77661,1875.27,440.43,70.26,196702,10902.7,8301.31,234.08,0,0,51,0,0,0,27.75,110.32,15.8,97.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.88,0,0,0,0,0,0,0,0,0,0
39575.3756,72531.42,77661,8532.99,4653.5,285.3,611510,35143.8,26484.1,2198.59,0,0,328.23,98.41,43.54,0,55.5,40.61,31.6,518.83,0,0,0,0,0,0,0,0,0,14.4,0,75.19,0,0,0,0,0,0,0,0,0,0,0,26.92,0,0,49.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39588.158,72536.42,77661,1577.99,1109.5,249.66,274046,14158.1,12413,138.57,0,0,20.07,0,0,0,0,34.8,0,211.34,0,0,0,0,0,0,0,0,0,0,0,46.1,0,0,0,0,0,0,0,0,0,23.1,0,0,0,0,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39600.9404,72541.42,77661,415.78,259.77,183.96,56422.5,2142.88,1717.93,100.87,0,0,114.17,0,0,0,0,0,0,148.61,0,0,0,0,0,0,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39613.7228,72546.42,77661,577.77,434.81,0,9982.27,357.43,504.36,85.41,0,0,19.45,0,0,0,0,62.76,0,125.49,0,9.28,0,0,0,19.85,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39625.44,72551.42,77661,338.27,0,0,537.04,412.96,239.06,26.28,0,0,10.76,0,0,0,0,50.92,0,8.96,0,0,0,0,0,39.7,15.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.85,0,0,0,0,0,0,0,0,0
39638.2224,72556.42,77661,330.7,0,0,777.8,340.65,27,102.55,0,0,16.35,0,0,0,0,10.65,0,51.3,0,0,0,0,0,0,31.05,0,0,0,13.1,13.4,0,0,0,0,0,0,36.45,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.15,0,0,0,0,0
39651.0048,72561.42,77661,361.03,49.2,0,1065.44,385.68,319.31,173.21,0,0,0,0,0,0,0,109.25,120.9,120.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.24,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0
39663.7872,72566.42,77661,728.84,120.17,0,431.66,154.33,390.8,19.05,0,0,119.6,0,0,0,0,37.83,0,19.52,0,0,0,0,0,0,36.26,0,0,47.4,0,11.3,0,0,0,0,0,0,0,0,0,0,0,32.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.24,0,0
39675.5044,72571.42,77661,99.72,0,0,1279.7,151.48,176.92,0,0,0,25.56,0,0,0,0,90.64,0,28.35,0,31.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39688.2868,72576.42,77661,88.75,0,0,959.53,186.97,298,27.05,0,83.86,63.9,0,0,0,0,0,0,18.55,0,0,0,0,0,0,31.33,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39701.0692,72581.42,77661,295.56,0,0,98.3,219.18,47.52,6.65,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39713.8516,72586.42,77661,248.8,0,0,644.35,275.97,218.18,0,0,0,0,0,0,0,0,0,0,22.4,0,29.5,0,0,0,0,40.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.46,13.56,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
